JJ_CTRL_1	BM_CTRL_2	BM_CTRL_3	BM_AMIL_1	BM_AMIL_2	BM_AMIL_3	BM_CTRL_1	JJ_CTRL_2	JJ_CTRL_3	JJ_AMIL_1	JJ_AMIL_2	JJ_AMIL_3	BM_TG_1	BM_TG_2	BM_TG_3	JJ_TG_1	JJ_TG_2	JJ_TG_3
ENSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	1637	1792	2368	2365	4808	2098	1664	1878	1367	1155	3020	3834	2461	1962	2417	1601	3110	2129
ENSG00000000457	453	614	854	623	585	431	687	869	619	512	953	1049	845	757	859	823	1342	904
ENSG00000000460	719	961	1280	937	1247	852	884	1058	616	840	1320	1161	1944	1528	2106	1350	2569	1654
ENSG00000000938	2	3	6	0	0	0	1	4	1	3	3	5	5	1	3	2	2	3
ENSG00000000971	2	1	2	3	0	0	2498	2860	1991	2274	3197	3817	3	0	1	2917	4345	3278
ENSG00000001036	61	76	98	180	176	163	1543	2165	1513	1262	2265	2411	53	40	43	1280	1998	1434
ENSG00000001084	2354	2808	3963	1298	1240	812	1590	2018	1331	552	1316	1194	3384	2918	3516	1999	3321	2352
ENSG00000001167	3025	4071	4837	2242	2818	1981	2097	2906	1971	1178	2099	2075	3274	2785	3610	1889	3467	2404
ENSG00000001460	628	915	1157	942	1141	805	68	99	68	53	114	93	1026	981	1171	80	107	105
ENSG00000001461	1654	1889	2504	1706	1835	1395	1760	2231	1697	1563	2505	2430	2200	1892	2450	1316	2132	1591
ENSG00000001497	4668	5929	8279	5294	6456	4505	2479	3050	1968	2976	4969	4585	4767	3592	5212	2586	4091	2892
ENSG00000001561	215	345	413	238	213	158	63	94	59	40	71	55	265	201	301	44	82	50
ENSG00000001617	14	21	39	24	16	26	58	85	64	42	63	74	56	32	29	85	128	94
ENSG00000001626	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSG00000001629	1360	2031	2542	4106	4808	3051	1417	1970	1331	1386	2424	2542	1745	1455	1749	1223	2253	1515
ENSG00000001630	335	388	367	254	304	165	141	169	126	104	112	167	373	271	371	92	168	112
ENSG00000001631	1256	2182	2615	2411	3279	2266	764	1068	748	805	1478	1554	1878	1692	2199	816	1500	994
ENSG00000002016	395	577	754	769	990	593	229	353	200	193	348	414	791	779	900	350	587	398
ENSG00000002079	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000002330	1032	1249	1142	2183	2695	1424	625	790	566	666	948	1393	1285	939	909	648	829	631
ENSG00000002549	2019	3115	4626	885	797	469	1256	1799	1183	1085	1951	2089	1691	1152	1860	1096	1754	1342
ENSG00000002586	3	2	2	6	8	2	1	3	0	0	1	1	14	8	14	0	2	2
ENSG00000002587	0	0	0	0	0	0	14	15	14	12	14	17	0	0	0	11	11	14
ENSG00000002726	34	35	37	5	0	1	0	1	0	0	0	0	27	11	16	0	0	0
ENSG00000002745	26	39	40	26	43	20	6	3	3	4	7	1	25	17	23	2	4	3
ENSG00000002746	21	22	25	36	36	22	4	14	8	11	22	21	30	20	38	8	14	3
ENSG00000002822	395	278	317	225	257	144	788	932	744	768	1138	1420	496	363	425	1183	1616	1286
ENSG00000002834	9596	11671	14478	5539	5342	3911	10424	14735	9879	10828	18289	20210	10134	8176	10894	10172	16535	11749
ENSG00000002919	1312	1707	2167	3594	4427	3245	886	1173	766	1096	1754	1743	1793	1780	2098	1059	1653	1161
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000003056	4338	6926	8279	6689	8964	6371	3151	4024	2592	3088	4783	5216	5770	5305	6551	3889	6246	4456
ENSG00000003096	2	4	0	7	11	9	100	142	92	88	217	179	4	1	1	72	130	97
ENSG00000003137	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	0	1	2	2	1	0	822	1014	672	527	882	1055	1	0	2	1391	2300	1558
ENSG00000003249	10	4	7	11	8	4	66	80	74	81	139	119	3	1	2	30	40	31
ENSG00000003393	559	784	1070	541	532	449	493	740	469	514	789	847	1011	929	1082	573	964	684
ENSG00000003400	2580	3974	4955	2756	2860	2233	1703	2160	1580	881	1397	1476	2247	2069	2778	997	1681	1238
ENSG00000003402	2970	3620	5096	8111	9745	6832	1879	2291	1523	2431	3689	3855	3538	3064	3821	2183	3801	2537
ENSG00000003436	0	0	1	0	0	0	34	58	40	59	82	89	1	0	0	33	91	48
ENSG00000003509	242	403	468	415	506	343	357	465	355	335	609	609	579	480	620	579	962	712
ENSG00000003756	1956	3172	4454	4971	5340	4515	2961	3099	2221	2557	3745	4775	3788	3013	3887	3881	6722	4704
ENSG00000003987	0	0	0	0	4	0	1	1	1	1	4	1	0	0	0	1	4	0
ENSG00000003989	1	2	3	2	1	0	4972	6128	4815	2419	3970	3533	3	1	0	2004	3535	2721
ENSG00000004059	5481	8114	8447	4715	4946	3665	1582	2618	1787	1381	2264	2886	6555	5678	6827	2035	2804	2167
ENSG00000004139	2165	2824	3205	1296	1368	819	905	1078	723	676	1061	1376	1330	1045	1416	583	967	727
ENSG00000004142	6061	9881	11300	9707	12787	7817	6753	9187	4755	7156	14058	12624	7795	6632	8959	7407	10787	7560
ENSG00000004399	1709	1840	2069	712	554	320	1298	1934	1672	715	1052	1441	1181	724	1105	1312	2371	1859
ENSG00000004455	5655	7629	9528	4999	4995	3497	11679	14670	10080	9295	14705	14904	7343	5653	7960	11064	16932	12758
ENSG00000004468	3051	3504	5446	4071	4047	3114	92	157	126	150	264	193	2209	1332	2164	56	126	103
ENSG00000004478	11249	16558	19678	10631	12592	9240	8604	10825	6412	7563	11720	12799	9600	7598	10901	6342	10315	7186
ENSG00000004487	5201	8306	10879	4824	6481	4289	5430	7296	4343	3269	6144	6528	7615	6620	8729	5509	9314	6630
ENSG00000004534	2594	4493	4849	3698	4943	3425	2205	2950	1795	2130	3701	4222	4415	3668	4787	2993	4946	3525
ENSG00000004660	146	184	236	28	16	13	108	145	111	65	97	98	131	115	158	103	152	143
ENSG00000004700	2020	3257	3626	3390	4043	2500	1752	2525	1428	1616	3136	3003	4125	3326	4189	2146	3760	2585
ENSG00000004766	505	813	1128	1345	1620	1355	345	486	375	557	946	827	1279	1115	1366	606	1016	708
ENSG00000004776	4	10	13	16	8	3	3	5	4	1	6	2	18	10	23	5	9	6
ENSG00000004777	402	409	518	142	124	76	274	392	249	98	149	255	591	300	426	200	322	236
ENSG00000004779	1508	5493	6741	3820	6546	2842	2264	3994	1819	2926	5881	2131	4118	3178	4130	2722	4330	3125
ENSG00000004799	0	0	0	1	0	0	62	121	104	83	224	203	0	0	0	54	146	107
ENSG00000004809	0	0	0	0	0	1	10	22	20	18	49	26	0	0	0	13	18	21
ENSG00000004838	38	55	86	181	166	119	9	7	7	2	10	11	125	129	131	11	17	11
ENSG00000004846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	13	14	19	63	65	44	9	6	5	23	16	35	14	16	8	6	10	5
ENSG00000004864	1208	1797	2150	1547	1684	1178	734	790	452	492	831	910	2102	1648	2331	1007	1604	1135
ENSG00000004866	1470	2015	3040	4818	6307	4081	283	306	211	430	673	728	2449	1879	2468	479	754	566
ENSG00000004897	3313	5577	6267	4882	6545	4731	3326	4764	3027	2618	5028	5438	4313	3723	4971	3877	6934	4560
ENSG00000004939	0	1	1	2	11	3	0	0	0	0	0	0	1	2	1	0	0	0
ENSG00000004948	12	24	16	3	2	1	0	0	0	0	0	0	13	3	16	0	0	0
ENSG00000004961	638	953	1156	1408	1797	1285	719	728	459	643	1279	1356	852	655	833	552	981	678
ENSG00000004975	2001	2600	3154	1605	1873	1216	772	866	638	580	847	854	3066	2698	3247	832	1183	910
ENSG00000005001	4	4	6	0	5	4	1	0	1	0	1	0	5	1	2	0	1	1
ENSG00000005007	4524	5169	5675	6704	8939	5048	4653	5906	3485	3932	5697	7882	8233	6647	7620	6795	9996	7645
ENSG00000005020	800	1260	1522	2174	2394	1914	1141	1556	1012	884	1589	1746	1126	892	1068	768	1451	934
ENSG00000005022	17153	22583	30414	11363	13508	9253	10610	13144	8402	8562	13605	14401	16717	12955	18105	9306	14567	10531
ENSG00000005059	136	178	208	245	229	186	1163	1610	1186	1020	1997	2124	123	64	110	764	1300	810
ENSG00000005073	60	66	89	209	237	139	5	5	3	10	18	16	60	36	37	2	10	5
ENSG00000005075	1539	3712	2824	2552	4055	1078	533	589	422	441	633	791	3082	2701	3282	1054	1251	1041
ENSG00000005100	2367	3197	3931	4336	4641	3212	3938	5042	3237	4972	8103	8120	1701	1286	1783	2863	5090	3477
ENSG00000005102	16	27	39	171	185	130	0	0	0	0	0	0	6	0	6	0	0	0
ENSG00000005108	0	0	0	0	0	0	51	94	52	76	132	157	1	0	0	100	162	96
