baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000089009	19332.9338718327	2.28522030753438	0.0484797275729349	47.1376474650441	0	0
ENSG00000100764	2506.72649994884	4.48824918273882	0.107471022543936	41.7624125694342	0	0
ENSG00000128692	3328.70488690222	-6.22514227728261	0.159843721785445	-38.9451785015272	0	0
ENSG00000132967	1793.70734200021	-6.25663192674828	0.117428116855309	-53.2805267962996	0	0
ENSG00000137970	21767.2120150074	-5.2586981772188	0.124034865199322	-42.3969354807471	0	0
ENSG00000139239	11471.7703804964	-8.29681352034344	0.106755624687107	-77.7178115407107	0	0
ENSG00000144426	1844.43950246021	-4.47888944580275	0.115512435263182	-38.7740890026091	0	0
ENSG00000145425	26688.0322761999	3.3103600449691	0.0782523132522038	42.3036701074887	0	0
ENSG00000147403	27272.9818411409	3.06906170572488	0.0681876745902525	45.0090390113349	0	0
ENSG00000147604	23963.3637574198	6.03228565958644	0.100998635616838	59.726407418723	0	0
ENSG00000151846	7044.90020191143	-10.9795133613304	0.281224431195996	-39.0418190718227	0	0
ENSG00000161654	1867.08644022523	2.47030218623728	0.0550799883031547	44.8493593106989	0	0
ENSG00000171863	15901.1688828765	3.31550110209145	0.0705059604718729	47.0244087152618	0	0
ENSG00000172974	2412.3114423117	-6.98882978453502	0.139282264758035	-50.1774565245346	0	0
ENSG00000178464	7753.65888507658	-6.6766061452677	0.165618490896837	-40.3131685907375	0	0
ENSG00000179967	1859.68020828462	-8.0081859306469	0.209327066698835	-38.2568105354885	0	0
ENSG00000180867	4540.13069146769	-5.9849211587157	0.137519444625046	-43.5205448584665	0	0
ENSG00000183199	8298.8285248808	-10.6048309371116	0.231640468000704	-45.7814259686237	0	0
ENSG00000183405	15327.1378660046	-8.35747110874562	0.105982979637202	-78.8567290460662	0	0
ENSG00000185834	4009.87823465304	-9.54135254090212	0.187758256607293	-50.8172195103962	0	0
ENSG00000197744	5640.50618137686	-10.5952654723118	0.23534098271644	-45.0209111477958	0	0
ENSG00000198225	1621.21381542309	-6.85150218086506	0.172338335771728	-39.7561120117827	0	0
ENSG00000198406	2529.00346492342	-4.96673592017502	0.131622995039767	-37.7345608848548	0	0
ENSG00000198618	29808.1456751113	-5.39554365575971	0.0641129969343761	-84.1567843300541	0	0
ENSG00000198918	9696.31298490894	4.02887470635042	0.0873147806319143	46.141955316072	0	0
ENSG00000212664	1896.34877632966	-7.14795855528359	0.142814206926461	-50.0507527165295	0	0
ENSG00000213261	1357.22452118001	-8.074819476762	0.201182758004917	-40.1367371480446	0	0
ENSG00000213553	32047.1626727054	-8.01946573353483	0.165761516945795	-48.379538757221	0	0
ENSG00000213866	3327.33551312965	-9.50016520153659	0.212961474754687	-44.6097831191296	0	0
ENSG00000214182	6533.01162927876	-7.02201586922995	0.175049281205044	-40.114508445223	0	0
ENSG00000214389	4006.68605843131	-7.0972220648	0.186295208624781	-38.0966430494441	0	0
ENSG00000214485	9480.47427601809	-6.9181863022332	0.142196741217444	-48.6522141295354	0	0
ENSG00000215105	819.693378812019	-5.66929340224235	0.126949522714472	-44.657855193307	0	0
ENSG00000216285	991.479201633905	-7.48229545398543	0.187559792030905	-39.892854289114	0	0
ENSG00000218227	12185.6127057004	-11.9228509229482	0.275482979269757	-43.2798097165673	0	0
ENSG00000218426	11880.6432535473	-9.37699698046478	0.132380452670986	-70.8336978101294	0	0
ENSG00000220842	1108.82266038183	-5.29058404305196	0.140907221723359	-37.5465783679909	0	0
ENSG00000224631	12538.9456769406	-7.6889501538077	0.124123851307957	-61.9457910207045	0	0
ENSG00000224861	4417.43719763378	-7.16269647420418	0.137071014128644	-52.2553693772327	0	0
ENSG00000225031	1512.62706814825	-7.27597119639054	0.175834616911718	-41.3796289046067	0	0
ENSG00000226084	3996.74272007179	-7.5423416031416	0.167244651318984	-45.0976551038166	0	0
ENSG00000226121	1746.19322456738	-5.894828285453	0.116987667610689	-50.3884589362855	0	0
ENSG00000226415	7092.89418587147	-10.4876114661812	0.24184506348986	-43.3650011906111	0	0
ENSG00000226976	2872.51464497745	-5.71246203945692	0.111311669108834	-51.3195254836365	0	0
ENSG00000227008	2084.57411806579	-9.10634270548225	0.229528520190667	-39.6741228406722	0	0
ENSG00000227081	3961.14102574423	-6.29550038612387	0.118463827980687	-53.1428073314515	0	0
