baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000073905	994.123442055262	-0.861141152320331	1.45070674551157	3467.2345198814	0	0	VDAC1P1
ENSG00000089009	19332.9338718327	-0.0505973444178601	0.0868450703617781	4066.17301056791	0	0	RPL6
ENSG00000100596	1448.94283552063	-3.39295030079811	0.123976158262192	1513.90080069605	0	0	SPTLC2
ENSG00000100764	2506.72649994884	0.313100549766759	0.151126555040377	4106.22064758161	0	0	PSMC1
ENSG00000105640	13427.4085027813	-0.674613434845072	0.165259626062767	3827.62669714525	0	0	RPL18A
ENSG00000108958	371.523264927675	-2.57234026427571	1.56712855113493	2159.16106377613	0	0	AC016292.3
ENSG00000114779	2539.42281245065	-2.40124634104501	0.139093739736818	1822.83337132893	0	0	ABHD14B
ENSG00000114942	7566.8569116218	-0.130244364930574	0.10391282323657	2683.84330955901	0	0	EEF1B2
ENSG00000116251	20905.2167287529	0.692044388037125	0.112630639389517	1909.89204916165	0	0	RPL22
ENSG00000122026	8257.11749568487	-1.00957262134433	0.176121210604089	9379.84392363737	0	0	RPL21
ENSG00000127589	2725.54395688064	-0.982997078053835	0.482669477918371	1896.00647161414	0	0	TUBBP1
ENSG00000128692	3328.70488690222	0.619329889771203	0.207415234359605	4079.54749838414	0	0	EIF2S2P4
ENSG00000131778	2975.83223895766	-1.18008870600824	0.130606660326134	1622.506121825	0	0	CHD1L
ENSG00000132967	1793.70734200021	-0.0415973766624972	0.219408598246017	4819.48873835039	0	0	HMGB1P5
ENSG00000135486	21495.8813737372	-0.611142267418895	0.140958384145077	1822.03852100587	0	0	HNRNPA1
ENSG00000137970	21767.2120150074	0.0712898336275156	0.201916228990452	2018.94117193249	0	0	RPL7P9
ENSG00000139239	11471.7703804964	0.199887574646361	0.185671816901469	8898.80571046908	0	0	RPL14P1
ENSG00000140905	567.699093166708	-1.18750046363738	0.326585296095195	4123.22703461897	0	0	GCSH
ENSG00000140988	40921.2789956694	-0.599122659402237	0.129213969341512	1854.37549824817	0	0	RPS2
