"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000089009",19332.9338718327,2.28522030627896,0.0484797135946773,47.1376610304451,0,0
"ENSG00000100764",2506.72649994884,4.48824913978753,0.107471230563831,41.7623313350061,0,0
"ENSG00000128692",3328.70488690222,-6.22514230647695,0.15984351457216,-38.9452291707878,0,0
"ENSG00000132967",1793.70734200021,-6.25663197085972,0.117428328166391,-53.2804312941792,0,0
"ENSG00000137970",21767.2120150074,-5.25869817452506,0.12403486304412,-42.396936195709,0,0
"ENSG00000139239",11471.7703804964,-8.29681352377103,0.106755338387764,-77.7180199985388,0,0
"ENSG00000144426",1844.43950246021,-4.47888944534463,0.1155122189619,-38.7741616046865,0,0
"ENSG00000145425",26688.0322761999,3.31036004539478,0.0782523096565885,42.3036720567399,0,0
"ENSG00000147403",27272.9818411409,3.0690617036564,0.0681876494712747,45.0090555614372,0,0
"ENSG00000147604",23963.3637574198,6.03228566177967,0.100998614897747,59.7264196928528,0,0
"ENSG00000151846",7044.90020191143,-10.9795135067691,0.281224795215363,-39.0417690529775,0,0
"ENSG00000161654",1867.08644022523,2.4703021872226,0.0550799922196323,44.8493561395621,0,0
"ENSG00000171863",15901.1688828765,3.31550110130383,0.0705059603888317,47.0244087594758,0,0
"ENSG00000172974",2412.3114423117,-6.98882966268663,0.139282902749323,-50.1772258097241,0,0
"ENSG00000178464",7753.65888507658,-6.67660616093896,0.165618544602263,-40.3131556129358,0,0
"ENSG00000179967",1859.68020828462,-8.00818570753605,0.20932637661267,-38.2569355908458,0,0
"ENSG00000180867",4540.13069146769,-5.9849211902349,0.137519106654491,-43.5206520448949,0,0
"ENSG00000183199",8298.8285248808,-10.6048303491578,0.231639639950284,-45.7815870868814,0,0
"ENSG00000183405",15327.1378660046,-8.35747113490889,0.105982715318452,-78.8569259600189,0,0
"ENSG00000185834",4009.87823465304,-9.54135261746212,0.187758845953881,-50.8170604105957,0,0
"ENSG00000197744",5640.50618137686,-10.5952654835836,0.235340801710953,-45.0209458222072,0,0
"ENSG00000198225",1621.21381542309,-6.85150202726211,0.172337924535349,-39.756205987364,0,0
"ENSG00000198406",2529.00346492342,-4.96673591653857,0.131622992010536,-37.7345617256672,0,0
"ENSG00000198618",29808.1456751113,-5.39554366151298,0.0641128741682358,-84.1569455668884,0,0
"ENSG00000198918",9696.31298490894,4.02887470236264,0.0873147872190222,46.1419517894091,0,0
"ENSG00000212664",1896.34877632966,-7.14795850171962,0.142814628638726,-50.0506045483731,0,0
"ENSG00000213261",1357.22452118001,-8.07481943918645,0.201182896506875,-40.136709329615,0,0
"ENSG00000213553",32047.1626727054,-8.01946575769102,0.165761552293082,-48.379528586411,0,0
"ENSG00000213866",3327.33551312965,-9.50016518044645,0.212961752768651,-44.6097247836181,0,0
"ENSG00000214182",6533.01162927876,-7.02201585494792,0.175049412560146,-40.1144782621604,0,0
"ENSG00000214389",4006.68605843131,-7.09722203370373,0.186295068595657,-38.0966715179554,0,0
"ENSG00000214485",9480.47427601809,-6.91818630369524,0.142196709470704,-48.6522250018771,0,0
"ENSG00000215105",819.693378812019,-5.66929349562951,0.126948948452951,-44.6580579415404,0,0
"ENSG00000216285",991.479201633905,-7.48229562710063,0.187560165440421,-39.8927757902699,0,0
"ENSG00000218227",12185.6127057004,-11.9228510104177,0.275483283851982,-43.2797621826807,0,0
"ENSG00000218426",11880.6432535473,-9.3769972785516,0.132381264411383,-70.833265721137,0,0
"ENSG00000220842",1108.82266038183,-5.29058400110511,0.14090742458512,-37.5465240151995,0,0
"ENSG00000224631",12538.9456769406,-7.68895016353179,0.124124203876894,-61.9456151449535,0,0
"ENSG00000224861",4417.43719763378,-7.16269592663983,0.137070019726812,-52.2557444794672,0,0
"ENSG00000225031",1512.62706814825,-7.27597141438527,0.175835125287752,-41.3795105072335,0,0
"ENSG00000226084",3996.74272007179,-7.54234167198498,0.167245392728506,-45.0974555946584,0,0
"ENSG00000226121",1746.19322456738,-5.8948283031632,0.11698779263124,-50.3884052393775,0,0
"ENSG00000226415",7092.89418587147,-10.4876114187829,0.241845023119652,-43.3650082333685,0,0
"ENSG00000226976",2872.51464497745,-5.71246223017612,0.111311189004895,-51.319748546796,0,0
"ENSG00000227008",2084.57411806579,-9.10634270277791,0.229528492431701,-39.6741276270423,0,0
"ENSG00000227081",3961.14102574423,-6.29550038276549,0.118463831807003,-53.1428055866191,0,0
"ENSG00000227615",8372.93924073415,-11.268845032762,0.28976322207956,-38.8898389239608,0,0
"ENSG00000228589",3314.20868369545,-5.46755810274548,0.0936892242180588,-58.3584520885764,0,0
"ENSG00000229638",16986.1409945817,-10.4782543264891,0.157120988233576,-66.6890810978866,0,0
"ENSG00000229944",2248.84798456844,-6.54118617921754,0.172320770088575,-37.959360185399,0,0
"ENSG00000230202",5249.97596088147,-6.57672546250822,0.16680748440359,-39.4270406152513,0,0
"ENSG00000231991",4928.60665955749,-9.06529727942694,0.240694622239795,-37.663065319322,0,0
"ENSG00000232024",856.491387264025,-6.05077402973605,0.145592797871318,-41.5595696916548,0,0
"ENSG00000232472",6011.89088687704,-9.96136363216115,0.206239465824409,-48.2999875525386,0,0
"ENSG00000232573",14376.0765911204,-6.462770402941,0.140278357061863,-46.0710443029421,0,0
"ENSG00000233762",2944.16624765081,-7.4291903314423,0.147095412302571,-50.5059281941484,0,0
"ENSG00000233913",5392.10318179088,-10.0408680128919,0.225624614097467,-44.5025382228662,0,0
"ENSG00000234797",14722.5856465608,-6.52827258840005,0.139111169717864,-46.92845730246,0,0
"ENSG00000234964",1979.88961015725,-6.50538332496463,0.173341431189265,-37.5293043349898,0,0
"ENSG00000235552",10582.383414345,-6.27984631414635,0.0802575981780089,-78.246128176149,0,0
"ENSG00000236439",1290.7678832506,-7.00705340605958,0.173431322058552,-40.4024678062129,0,0
"ENSG00000236552",24039.6934080858,-7.39619238726916,0.139664065077377,-52.9570178497348,0,0
"ENSG00000236603",2510.21364334232,-8.2601942828301,0.199645394282911,-41.3743292826723,0,0
"ENSG00000240489",6367.47754317962,-9.76161175533226,0.237896029307317,-41.0331008203676,0,0
"ENSG00000241506",5074.67292644529,-5.32246317274311,0.135796371593607,-39.1944431966963,0,0
"ENSG00000242299",24458.3044528172,-10.4649867594198,0.149218047886754,-70.1321784303328,0,0
"ENSG00000243199",4919.67970345989,-5.62310300695567,0.0745118589191182,-75.4658800427928,0,0
"ENSG00000244171",1300.69050466326,-7.40865271470352,0.185426003405141,-39.9547667460438,0,0
"ENSG00000244313",13590.4032223303,-8.31538856709598,0.139585232520041,-59.5721224729277,0,0
"ENSG00000244398",10604.6977496868,-5.92667120943844,0.0694645456246019,-85.319369127773,0,0
"ENSG00000244716",7721.04576746587,-8.97366614296572,0.198640694947066,-45.1753662327703,0,0
"ENSG00000249353",8464.16501341366,-9.41691952910506,0.161929110957241,-58.1545805657617,0,0
"ENSG00000249565",2150.46317506822,-8.82092595762958,0.229783206071608,-38.3880358727378,0,0
"ENSG00000249936",1915.5584854989,-7.86587479756004,0.1834898535524,-42.8681730639332,0,0
"ENSG00000250896",1835.24409769552,-8.32388002625578,0.214913512059642,-38.7313014732447,0,0
"ENSG00000254598",2557.17361767506,-8.20546330695402,0.168698885794185,-48.639700661478,0,0
"ENSG00000254893",2553.0940774794,-6.4551912054665,0.156603050545682,-41.2200859623964,0,0
"ENSG00000267809",5188.29410630312,-10.00610867269,0.251241122051307,-39.8267154317461,0,0
"ENSG00000233927",5066.48625234199,5.03835575674298,0.134857539508676,37.36057898653,1.7072769010305e-305,4.87697693994371e-303
"ENSG00000122026",8257.11749568487,7.17901311720315,0.19235234922582,37.322201398097,7.16349815305934e-305,2.02073328525113e-302
"ENSG00000177954",14497.9450065767,7.55275359235952,0.204030784299511,37.0177158230804,5.94154456726951e-300,1.65534365740211e-297
"ENSG00000179611",2349.05234232637,-7.91394263178634,0.215013999206643,-36.8066389211267,1.44577687402997e-296,3.97888374588222e-294
"ENSG00000214784",1455.73272940488,-7.12428551184777,0.193678398468766,-36.7840996630128,3.315467991026e-296,9.01447784981731e-294
"ENSG00000182890",2046.91807976623,-8.77521550495821,0.23897692284501,-36.7199284369789,3.51197648426645e-295,9.43509206195727e-293
"ENSG00000185641",4538.89862793569,-10.6516251455555,0.290419687159589,-36.6766635200675,1.72033631618634e-294,4.56739172322085e-292
