Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Klf2	7909.52599502452	-2.114676524679221	0.08314818575627848	1.3382585291948523e-143	1.8202992514108382e-139
Aldh1a1	1926.573423321379	-2.4678427721621814	0.10294662261811821	2.0362303538900996e-128	1.3848402636806567e-124
Selp	2362.259879149153	-1.7019611493611457	0.0814577192386688	1.5097961885946043e-97	6.845415919087936e-94
Plscr2	615.2633830054466	-5.278273818788482	0.26409188949732815	9.115807308937488e-90	3.099830275404193e-86
Hbb-b1	3849.9258412680942	1.8841667434944607	0.0961973208816822	3.85754520447896e-86	1.0494065974264564e-82
Hbb-b2	3113.5258959909306	1.8499145028093373	0.1041933240028322	3.1919209623833744e-71	7.23608482172311e-68
Vldlr	1033.1603249415396	-1.7812678203181809	0.10295228890851169	1.011232202985223e-67	1.964968632143572e-64
Nr4a1	13364.686870122823	1.6079037121782553	0.09348731007562405	7.329783887888001e-67	1.2462465055381573e-63
D17H6S56E-5	17077.36048891443	-0.6527211185449265	0.041916626294872715	1.2297198124552872e-57	1.8585165432240906e-54
Hspa1b	574.9564199299291	-2.2794178530961493	0.1441935924468932	2.027965080677073e-57	2.758438102736955e-54
Hspa1a	520.3880324638194	-2.4282440800916705	0.1574366554180553	4.8365624420109765e-55	5.980629303293937e-52
Dusp1	16226.369505474184	-0.7387191476550643	0.04945926256959942	3.7265173807721925e-54	4.22400745110528e-51
Hes1	782.0720055788321	2.324619434298844	0.15190152445308053	4.5871240865239294e-54	4.799543217299884e-51
Ldlr	1292.1638802843909	1.3677544483747075	0.09018407650237217	1.5717244552615617e-52	1.5270425743191259e-49
H2-Eb1	1136.3217875524674	-1.885027447824109	0.1323363598299364	9.13566994938159e-47	8.284225510099226e-44
Rgs1	3195.826616187782	1.2263823017598185	0.0882239802728376	7.735720895173126e-45	6.576329726009053e-42
Ebi3	613.2367496375348	2.3269766506360003	0.16899941229501456	2.417536623157474e-44	1.934313714599292e-41
Mpl	9410.621019335766	0.9311148237374689	0.07060908464906024	3.860111783194192e-43	2.9169578041670773e-40
