baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000073905	994.123442055262	-0.861141152319992	1.45070674551335	3467.23451936769	0	0	VDAC1P1
ENSG00000089009	19332.9338718327	-0.050597344417859	0.0868450703689412	4066.17300989088	0	0	RPL6
ENSG00000100596	1448.94283552063	-3.39295030079831	0.12397615827345	1513.90080039724	0	0	SPTLC2
ENSG00000100764	2506.72649994884	0.313100549767776	0.151126555052615	4106.22064684032	0	0	PSMC1
ENSG00000105640	13427.4085027813	-0.674613434845348	0.165259626073365	3827.62669664153	0	0	RPL18A
ENSG00000108958	371.523264927675	-2.57234026427664	1.56712855113732	2159.16106344717	0	0	AC016292.3
ENSG00000114779	2539.42281245065	-2.40124634104431	0.139093739747348	1822.83337103089	0	0	ABHD14B
ENSG00000114942	7566.8569116218	-0.130244364930746	0.103912823245091	2683.84330911059	0	0	EEF1B2
ENSG00000116251	20905.2167287529	0.692044388037303	0.112630639397763	1909.89204888144	0	0	RPL22
ENSG00000122026	8257.11749568487	-1.00957262134393	0.176121210617248	9379.84392156117	0	0	RPL21
ENSG00000127589	2725.54395688064	-0.982997078054617	0.482669477928108	1896.00647139957	0	0	TUBBP1
ENSG00000128692	3328.70488690222	0.619329889769832	0.207415234369351	4079.54749773183	0	0	EIF2S2P4
ENSG00000131778	2975.83223895766	-1.18008870600807	0.130606660335761	1622.50612157485	0	0	CHD1L
ENSG00000132967	1793.70734200021	-0.0415973766630992	0.219408598253001	4819.4887375709	0	0	HMGB1P5
ENSG00000135486	21495.8813737372	-0.611142267418814	0.140958384154158	1822.03852077013	0	0	HNRNPA1
ENSG00000137970	21767.2120150074	0.0712898336274544	0.201916229002369	2018.94117168813	0	0	RPL7P9
ENSG00000139239	11471.7703804964	0.199887574646166	0.185671816908846	8898.80570891954	0	0	RPL14P1
ENSG00000140905	567.699093166708	-1.18750046363201	0.326585296109362	4123.22703345026	0	0	GCSH
ENSG00000140988	40921.2789956694	-0.59912265940227	0.129213969350055	1854.37549800231	0	0	RPS2
ENSG00000142541	37597.7584316178	-0.96967063863828	0.146362366355807	2319.67320960685	0	0	RPL13A
ENSG00000143947	16337.284515704	0.0595764229860913	0.113410824673377	2831.82442330642	0	0	RPS27A
ENSG00000144158	1099.24596957708	-1.3611156533498	1.21268464289058	5211.65816356784	0	0	RP11-395L14.17
ENSG00000144426	1844.43950246021	0.150270586866282	0.146042543191876	3425.57916704578	0	0	NBEAL1
ENSG00000144713	27337.872686475	-0.0468295942425977	0.0961580452635939	1967.61755140603	0	0	RPL32
ENSG00000145425	26688.0322761999	0.0506497436441986	0.125403847672886	3864.57760021327	0	0	RPS3A
ENSG00000146677	8324.30628564969	1.82785280010647	0.875798843241973	8949.77689032927	0	0	AC004453.8
ENSG00000147403	27272.9818411409	-0.0924429815276538	0.104539767180793	4805.02860975495	0	0	RPL10
ENSG00000147604	23963.3637574198	0.18435919624664	0.155821829116915	6038.43277353109	0	0	RPL7
ENSG00000148303	33418.4165288142	-0.485642118451138	0.135739134381032	2705.28379227615	0	0	RPL7A
ENSG00000151846	7044.90020191143	-0.0635684251658932	0.501455708182758	4813.04181299627	0	0	PABPC3
ENSG00000156508	185438.468595149	-0.906956974752893	0.137398484886204	3290.75236774906	0	0	EEF1A1
ENSG00000161654	1867.08644022523	0.0962413035504931	0.0963024530666472	3653.53866356353	0	0	LSM12
ENSG00000163041	5502.76925852125	-0.239773443651751	0.130271165871617	1586.83854911053	0	0	H3F3A
ENSG00000163682	12737.0111817911	0.482638104478848	0.175272204614507	4064.5872008421	0	0	RPL9
ENSG00000164687	2413.42679458553	-0.0874368964991788	0.188660164190395	3102.94206531759	0	0	FABP5
ENSG00000165637	2381.70557798363	0.31430181322937	0.0969403525402354	1945.20310154371	0	0	VDAC2
ENSG00000166164	2419.85999287674	-0.0223113730208097	0.10170527960239	2106.42647772999	0	0	BRD7
ENSG00000168028	28956.9222321759	0.0120561643039351	0.131581598808555	2675.34750523104	0	0	RPSA
ENSG00000169612	531.691588834392	1.30176642569026	0.13055682893731	1786.77668312642	0	0	FAM103A1
ENSG00000171314	8255.8222384617	-0.00523037457892018	0.103148498359778	1837.74514402413	0	0	PGAM1
ENSG00000171471	474.404515200149	0.893044824550121	0.408086079271405	2577.36284277135	0	0	MAP1LC3B2
ENSG00000171863	15901.1688828765	0.121294743664497	0.0963973685214883	6316.97468993102	0	0	RPS7
ENSG00000172239	1584.28517874105	0.531737101738864	0.0992491759383521	1732.1687993667	0	0	PAIP1
ENSG00000172974	2412.3114423117	-0.259901845445224	0.248967048397528	5498.55855598117	0	0	AC007318.5
ENSG00000174028	507.719219643042	0.854546507496972	0.518379696015514	2107.58490853745	0	0	FAM3C2
ENSG00000174977	1632.95574042569	1.24256051518034	0.409234551718536	5526.86891206778	0	0	AC026271.5
ENSG00000175730	591.81630848954	1.73489743722799	0.222831878167167	1973.2469580581	0	0	BAK1P1
ENSG00000177144	425.489168810693	-1.01843594813141	0.958052876971078	3002.9372266359	0	0	NUDT4P1
ENSG00000177855	2224.4996766803	0.489566707343043	0.591303514010805	7389.51997134855	0	0	CACYBPP2
ENSG00000178082	396.522594312123	2.68142337650487	1.39033319711472	2409.25945326716	0	0	TWF1P1
ENSG00000178146	337.704084326595	-0.424622584741731	0.666313405428687	2040.30228266945	0	0	RP1-232L22__B.1
ENSG00000178464	7753.65888507658	-0.122960326315801	0.261609582729699	1820.84844826761	0	0	CTD-2192J16.15
