Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Klf2	7909.52599502452	-2.114676527998699	0.0831481858727483	1.3382584381257173e-143	1.8202991275386006e-139
Aldh1a1	1926.573423321379	-2.4678427780147705	0.10294662256841482	2.0362301221739097e-128	1.384840106090476e-124
Selp	2362.259879149153	-1.7019611507287669	0.08145771946004633	1.5097959741081715e-97	6.845414946606449e-94
Plscr2	615.2633830054466	-5.278273792234096	0.26409189532686994	9.11580716669285e-90	3.0998302270339038e-86
Hbb-b1	3849.9258412680942	1.8841667467303942	0.09619732118240637	3.857545105176381e-86	1.0494065704121828e-82
Hbb-b2	3113.5258959909306	1.8499145063305868	0.10419332441172946	3.1919209166698084e-71	7.236084718090455e-68
Vldlr	1033.1603249415396	-1.7812678232019838	0.10295228932493258	1.0112321178957949e-67	1.9649684668026575e-64
Nr4a1	13364.686870122823	1.6079037131570533	0.09348731049729768	7.329783822235098e-67	1.2462464943755224e-63
D17H6S56E-5	17077.36048891443	-0.6527211190882894	0.04191662628418212	1.2297195906766153e-57	1.8585162080425913e-54
Hspa1b	574.9564199299291	-2.2794178640553073	0.14419359277254024	2.027964996222974e-57	2.758437987862489e-54
Hspa1a	520.3880324638194	-2.4282440934923186	0.15743665539386736	4.836562266161041e-55	5.9806290858474976e-52
Dusp1	16226.369505474184	-0.7387191482602026	0.04945926244362	3.726516946958497e-54	4.224006959377456e-51
Hes1	782.0720055788321	2.3246194466241006	0.1519015247214434	4.587123903258248e-54	4.7995430255475915e-51
Ldlr	1292.1638802843909	1.3677544470031158	0.09018407693807376	1.5717243331572397e-52	1.5270424556860552e-49
H2-Eb1	1136.3217875524674	-1.885027453874406	0.1323363606209497	9.135669783941597e-47	8.28422536007824e-44
Rgs1	3195.826616187782	1.2263822990987074	0.08822398065014539	7.735720675773552e-45	6.57632953949199e-42
Ebi3	613.2367496375348	2.32697666578031	0.16899941266275587	2.4175365770224246e-44	1.9343136776858247e-41
Mpl	9410.621019335766	0.9311148222771386	0.07060908423013705	3.860111630445973e-43	2.9169576887403397e-40
Smad7	1167.754557815443	1.5516595968797433	0.1150416909311776	5.125407313407202e-42	3.6692521198402505e-39
H2-Ab1	2478.4832354708647	-1.4359149394100374	0.10715652582978441	1.676374545284863e-41	1.1401023282482355e-38
Dusp2	5251.264374134894	1.054177539837468	0.083789859423893	1.763911205475732e-38	1.1425104865181384e-35
Cd74	4448.400934362563	-1.2820472176329036	0.10533838360146583	7.335298549765591e-35	4.535215039723253e-32
Klf6	7313.395919939888	-0.8760924883045228	0.07592348677397953	1.3020296613528198e-34	7.700090197270024e-32
H2-Aa	1776.403356423437	-1.4736324604393418	0.12164160422563451	2.4218460999907665e-34	1.3725812771697669e-31
Map3k12	243.10176083058994	-2.686935381666623	0.2332971517362493	1.2216571698579583e-32	6.64679232976318e-30
Ccnd2	4340.279048178245	0.8539982524560434	0.08011924105727804	2.1180937048049704e-30	1.1080888681829696e-27
Hmox1	255.63042348730252	2.300714636994632	0.20817722226628	1.4000121697749887e-29	7.052950197510888e-27
Dusp5	1505.818858756533	1.1099142896994354	0.10200008955682953	2.384692226982433e-29	1.1584494168362519e-26
Peg13	1489.183934205472	1.0403748928598768	0.0970347206773242	3.150760732036844e-29	1.477815430247074e-26
Car1	188.72577768006798	2.5650986272302765	0.23594275048130925	3.3562806999802507e-29	1.5217376693710455e-26
Rgs2	2449.8697048279864	1.0175048599519105	0.09562757950945974	4.4921751526971097e-29	1.971050529902777e-26
Mycn	2872.4092404271423	0.8380374236707332	0.0809333225768181	5.031358673823125e-29	2.138641896291942e-26
